Column1,Column2,Column3,Column4
235,20100331,19,11
235,20100401,49,13
235,20100402,13,20
235,20100403,20,14
235,20100404,16,12
235,20100405,-1,15
235,20100406,0,25
235,20100407,0,24
235,20100408,0,24
235,20100409,0,27
235,20100410,0,26
235,20100411,0,13
235,20100412,0,29
235,20100413,0,27
235,20100414,0,30
235,20100415,0,30
235,20100416,0,27
235,20100417,0,29
235,20100418,0,31
235,20100419,0,25
235,20100420,4,28
235,20100421,-1,27
235,20100422,-1,25
235,20100423,0,32
235,20100424,0,29
235,20100425,3,27
235,20100426,0,30
235,20100427,0,35
235,20100428,0,31
235,20100429,15,32
235,20100430,27,28
235,20100501,14,24
235,20100502,214,6
235,20100503,77,7
235,20100504,2,23
235,20100505,0,32
235,20100506,0,31
235,20100507,52,9
235,20100508,2,9
235,20100509,0,24
235,20100510,-1,27
235,20100511,0,33
235,20100512,21,6
235,20100513,0,7
235,20100514,0,36
235,20100515,0,30
235,20100516,0,29
235,20100517,0,33
235,20100518,0,38
235,20100519,0,43
235,20100520,0,38
235,20100521,0,42
235,20100522,0,36
235,20100523,0,43
235,20100524,0,37
235,20100525,0,37
235,20100526,0,24
235,20100527,0,15
235,20100528,0,41
235,20100529,69,28
235,20100530,46,19
235,20100531,-1,26
235,20100601,0,28
235,20100602,0,48
235,20100603,0,49
235,20100604,0,49
235,20100605,0,47
235,20100606,31,14
235,20100607,1,13
235,20100608,59,28
235,20100609,120,12
235,20100610,117,10
235,20100611,52,9
235,20100612,0,35
235,20100613,0,23
235,20100614,0,32
235,20100615,0,33
235,20100616,0,47
235,20100617,0,49
235,20100618,-1,18
235,20100619,37,29
235,20100620,-1,16
235,20100621,0,40
235,20100622,0,43
235,20100623,0,49
235,20100624,0,46
235,20100625,0,48
235,20100626,0,52
235,20100627,0,53
235,20100628,0,52
235,20100629,4,31
235,20100630,0,26
235,20100701,0,41
235,20100702,21,53
235,20100703,47,27
235,20100704,0,51
235,20100705,0,43
235,20100706,0,47
235,20100707,0,32
235,20100708,0,42
235,20100709,0,48
235,20100710,115,51
235,20100711,0,41
235,20100712,62,17
235,20100713,10,29
235,20100714,136,40
235,20100715,32,33
235,20100716,4,26
235,20100717,25,32
235,20100718,0,43
235,20100719,0,47
235,20100720,0,35
235,20100721,-1,31
235,20100722,0,34
235,20100723,5,45
235,20100724,0,44
235,20100725,0,31
235,20100726,8,31
235,20100727,40,28
235,20100728,22,36
235,20100729,12,27
235,20100730,-1,41
235,20100731,117,7
235,20100801,0,36
235,20100802,0,33
235,20100803,0,33
235,20100804,158,16
235,20100805,0,37
235,20100806,0,41
235,20100807,70,9
235,20100808,0,32
235,20100809,0,35
235,20100810,146,11
235,20100811,6,39
235,20100812,14,25
235,20100813,2,36
235,20100814,0,38
235,20100815,53,20
235,20100816,114,30
235,20100817,139,5
235,20100818,0,27
235,20100819,0,35
235,20100820,0,34
235,20100821,0,26
235,20100822,0,17
235,20100823,108,22
235,20100824,75,29
235,20100825,21,27
235,20100826,256,4
235,20100827,142,16
235,20100828,61,24
235,20100829,192,14
235,20100830,44,23
235,20100831,0,26
235,20100901,0,27
235,20100902,6,12
235,20100903,0,27
235,20100904,0,23
235,20100905,0,31
235,20100906,0,31
235,20100907,95,5
235,20100908,45,8
235,20100909,12,22
235,20100910,76,13
235,20100911,0,19
235,20100912,11,18
235,20100913,28,21
235,20100914,200,6
235,20100915,83,17
235,20100916,28,13
235,20100917,16,18
235,20100918,38,21
235,20100919,17,5
235,20100920,25,13
235,20100921,0,22
235,20100922,0,22
235,20100923,43,5
235,20100924,7,20
